Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13.56]	 (rumeur de rue) 
[00:42:06.49]	 - Votre famille vient du Pendjab, c'est bien ça?

[00:42:10.23]	  - Oui, monsieur. C'est bien ça.

[00:42:12.63]	  Dans mon village, j'ai cinq soeurs,

[00:42:14.79]	  13 niè ces et neuf neveux.

[00:42:18.09]	  La famille de Duleep habite dans le mê me village.

[00:42:19.79]	  - Vous avez des voisins musulmans?

[00:42:21.26]	  

[00:42:22.56]	  - Bien sû r, monsieur.

[00:42:24.76]	  Tous les enfants s'amusent ensemble.

[00:42:26.53]	  Ils célè brent Diwali avec nous

[00:42:28.59]	  et nous célébrons l'Aiï d avec eux.

[00:42:30.76]	  Parfois, il arrive mê me que l'on se marie entre nous.

[00:42:31.93]	

[00:42:34.49]	 - Vous ê tes marié?

[00:42:37.66]	  - Non.

[00:42:39.93]	  D'ailleurs, j'ignore si c'est ma destinée.

[00:42:41.73]	  Ma mè re ne rê ve que de ça.

[00:42:44.16]	  - Et votre pè re?

[00:42:45.79]	

[00:42:46.89]	  

[00:42:49.16]	 - Il est mort, monsieur.

[00:42:52.26]	

[00:42:53.83]	 Quand j'étais enfant.

[00:42:54.26]	  

[00:42:57.49]	  Il a été tué par les Anglais

[00:42:59.53]	  dans le carnage de Jallianwala Bagh.

[00:43:01.09]	

[00:43:03.46]	  

[00:43:05.63]	 (musique douce)

[00:43:08.73]	

[00:43:10.73]	  

[00:43:12.36]	 (salutations)

[00:43:15.46]	

[00:43:17.46]	  

[00:43:26.99]	 - C'est un honneur de vous rencontrer, Bapuji.

[00:43:30.09]	

[00:43:32.26]	  

[00:43:35.36]	 - Namaste, Bapuji.

[00:43:38.46]	

[00:43:40.06]	  

[00:43:41.19]	 (brouhaha des journalistes)

[00:43:45.03]	  - Monsieur Gandhi, s'il vous plaî t!

[00:43:46.93]	  (musique douce)

[00:43:48.23]	

[00:43:50.53]	  

[00:43:53.69]	 - Nous, les Indiens, avons toujours manifesté,

[00:43:57.53]	  fait campagne et jeû né ensemble.

[00:44:00.96]	  Indépendamment des croyances et des classes sociales.

[00:44:02.66]	  Depuis longtemps,

[00:44:05.99]	  nous sommes unis dans notre désir

[00:44:07.39]	  de nous opposer à  un oppresseur.

[00:44:09.43]	  - Et maintenant, nous nous en allons.

[00:44:11.73]	  - La liberté, bien que voulue par tous,

[00:44:12.89]	  

[00:44:14.53]	  inspire de la crainte.

[00:44:17.83]	  - Et la crainte amè ne la violence.

[00:44:20.16]	  C'est contagieux.

[00:44:22.53]	  - Mais le courage est encore plus contagieux.

[00:44:23.43]	  

[00:44:24.79]	  (rires)

[00:44:27.39]	

[00:44:30.46]	 Voulez-vous que je vous dise quelle est la solution?

[00:44:33.06]	

[00:44:35.69]	  

[00:44:37.79]	 On devrait donner à  Jinnah

[00:44:41.63]	  de former le premier gouvernement.

[00:44:42.96]	  - De l'Inde indépendante?

[00:44:44.46]	  

[00:44:45.93]	

[00:44:47.56]	  

[00:44:49.36]	 - Le congrè s devra ê tre préparé à  accepter

[00:44:53.23]	  d'ê tre dirigé par la Ligue musulmane

[00:44:55.73]	  si c'est, bien entendu, le seul moyen

[00:44:57.76]	  d'assurer l'unité de notre pays.

[00:45:01.26]	  - Vous seriez prê ts à  donner le pays aux musulmans

[00:45:03.29]	  plutô t que le diviser en deux parties?

[00:45:04.93]	  Mais c'est...

[00:45:06.23]	

[00:45:07.03]	 ...une démarche pleine d'audace.

[00:45:08.03]	  

[00:45:10.73]	  - Vous croyez que le congrè s

[00:45:12.53]	  pourrait accepter une chose pareille?

[00:45:13.69]	  - Et Jinnah?

[00:45:15.86]	  - Il est essentiel de rallumer la lampe

[00:45:17.96]	  de la fraternité entre hindous, musulmans et sikhs.

[00:45:20.09]	  - Vous me donnez l'espoir

[00:45:23.33]	  que la raison finira par vaincre.

[00:45:25.19]	  - Ce n'est pas la raison dont nous avons besoin.

[00:45:28.09]	  Nous avons besoin d'une force beaucoup plus grande.

[00:45:29.19]	  

[00:45:30.46]	

[00:45:31.83]	 Une force rarement évoquée par les hommes politiques.

[00:45:33.26]	  

[00:45:34.93]	

[00:45:35.66]	 - L'amour.

[00:45:39.26]	  - Précisément. (rire)

[00:45:41.33]	  J'espè re que vous me ferez l'honneur

[00:45:44.13]	  de goû ter à  ma nourriture.

[00:45:45.76]	  C'est du caillé de chè vre. J'adore ça.

[00:45:47.16]	  - Ah, oui? - Vous devez y goû ter.

[00:45:48.56]	  - Désolé. - J'insiste.

[00:45:50.26]	  Une cuiller, je vous prie. - D'accord.

[00:45:51.23]	  - Goû tez-moi ça.

[00:45:52.86]	  C'est meilleur que le lait de vache.

[00:45:54.06]	  - Souhaitez-moi bonne chance.

[00:45:55.73]	  Alors...

[00:45:56.53]	  

[00:45:58.79]	  - C'est délicieux, n'est-ce pas?

[00:45:59.53]	  

[00:46:01.86]	  Vous voulez y goû ter, vous aussi?

[00:46:04.56]	  - Allons, chérie, n'ayez crainte.

[00:46:06.83]	  - Merci.

[00:46:08.56]	

[00:46:09.79]	 - Je me souviens qu'il y a quelque chose de similaire...

[00:46:10.36]	  

[00:46:13.93]	  - Tu as dit à  Asif que c'était trop tard pour lui?

[00:46:14.89]	  

[00:46:17.13]	  - Comment lui dire?

[00:46:18.76]	  

[00:46:20.23]	  (soupir)

[00:46:22.69]	  - Mais c'est la vérité.

[00:46:24.83]	  - Mon pè re a déjà  beaucoup perdu.

[00:46:26.09]	  

[00:46:27.53]	  Sa femme, la vue...

[00:46:29.19]	  

[00:46:30.56]	

[00:46:32.49]	 C'est un homme fier qui ne peut pas travailler

[00:46:32.56]	  

[00:46:36.06]	  et qui dépend de moi.

[00:46:39.26]	  Avant l'arrivée d'Asif, j'avais oublié

[00:46:40.46]	  

[00:46:43.09]	  ce que c'était de voir mon pè re vraiment sourire.

[00:46:44.93]	  - Moi, je l'ai toujours fait sourire, ton pè re.

[00:46:47.59]	  Et toi aussi.

[00:46:50.29]	  - Aalia. Tout va bien?

[00:46:52.46]	  - Oui, mademoiselle.

[00:46:54.59]	

[00:46:56.76]	  

[00:46:59.26]	 (musique classique)

[00:47:03.49]	  - Et c'est à  ce moment-là  que sa majesté m'a pris le bras

[00:47:04.36]	  

[00:47:06.76]	  et m'a dit: Mon garçon...

[00:47:10.86]	  - Votre excellence! - Bienvenue, monsieur Jinnah.

[00:47:12.66]	  - Je vous présente M. Henri F. Grady,

[00:47:15.49]	  ambassadeur des EÉ tats-Unis.

[00:47:16.99]	  - Enchanté, vos excellences.

[00:47:18.89]	  - Bienvenue, monsieur l'ambassadeur.

[00:47:20.36]	  - Ambassadeur auprè s d'un pays ou de deux?

[00:47:22.06]	  Le monde entier a trè s envie de savoir.

[00:47:24.09]	  - Cela dépend peut-ê tre de M. Jinnah.

[00:47:25.53]	  

[00:47:27.36]	  - CÇ a doit ê tre frustrant pour vous

[00:47:29.13]	  d'ê tre forcés de rendre ce palais.

[00:47:31.06]	  - Pas du tout.

[00:47:33.89]	  - Il faut avouer qu'il est grand temps.

[00:47:34.73]	  - Aalia...

[00:47:37.19]	  imagine la vie au Pakistan.

[00:47:39.43]	  Pas de préjugés. Pas de tension.

[00:47:41.69]	  C'est une nation dont nos enfants seront fiers.

[00:47:43.83]	  - Toi et moi, on est nés en Inde.

[00:47:46.83]	  Et nos parents, nos ancê tres sont enterrés dans ce pays.

[00:47:48.33]	  On ne peut pas partir, Asif.

[00:47:51.53]	  - On viendra en visite.

[00:47:53.99]	  Je conduirai ma jolie femme dans la voiture de M. Jinnah.

[00:47:55.59]	  Pourquoi on ne serait pas heureux? Tu peux me dire?

[00:47:56.69]	  

[00:47:58.09]	

[00:47:58.96]	 On vient de vivre des années difficiles

[00:48:00.09]	  

[00:48:02.89]	  et je t'ai toujours gardé dans mon coeur.

[00:48:04.69]	  Toujours.

[00:48:06.63]	

[00:48:09.03]	  

[00:48:13.43]	 - Je ne suis qu'une écoliè re là -dessus.

[00:48:17.36]	  - Et moi, je n'étais qu'un petit garçon.

[00:48:18.93]	

[00:48:20.46]	 Mais je savais...

[00:48:20.93]	  

[00:48:23.56]	

[00:48:24.46]	 - Asif...

[00:48:25.56]	  

[00:48:28.43]	  Je ne suis plus l'écoliè re de la photo.

[00:48:29.13]	  

[00:48:30.93]	

[00:48:34.36]	 - Cette distance que tu gardes est compréhensible.

[00:48:37.26]	

[00:48:38.59]	 Tu devais penser que je t'avais abandonnée.

[00:48:39.59]	  

[00:48:41.69]	

[00:48:43.49]	 Mais je suis prè s de toi maintenant.

[00:48:43.69]	  

[00:48:46.96]	  S'il te plaî t.

[00:48:49.23]	  Donne-moi une chance.

[00:48:50.76]	  

[00:48:52.66]	  Je te prouverai que je peux m'occuper de toi.

[00:48:53.23]	

[00:48:55.09]	  

[00:48:57.69]	 - Madame Jinnah, il me tardait de vous rencontrer.

[00:49:01.13]	  - Moi également.

[00:49:03.36]	  - Votre excellence.

[00:49:04.69]	  Puis-je vous parler?

[00:49:06.16]	  - Veuillez m'excuser.

[00:49:08.39]	  - Votre excellence. - Un instant, je vous prie.

[00:49:09.59]	

[00:49:10.86]	 Je ne devrais pas quitter cette conversation.

[00:49:11.59]	  

[00:49:14.73]	  J'espè re que c'est important, Pug.

[00:49:16.96]	  - En tout cas, ça ne va pas vous plaire.

[00:49:18.46]	  Il vient d'y avoir un massacre au Pendjab.

[00:49:20.53]	  La moitié de Rawalpindi est en feu.

[00:49:22.46]	  Les musulmans brû lent les maisons

[00:49:24.56]	  des hindous et des sikhs.

[00:49:26.63]	  De violentes représailles ont lieu dans les rues musulmanes.

[00:49:28.23]	  - Envoyez la police du Pendjab de toute urgence.

[00:49:30.76]	  - Je l'ai déjà  fait! - Si ça doit recommencer...

[00:49:33.39]	  - CÇ a peut arriver dans les 18 000 villes du Pendjab.

[00:49:35.23]	  Nous n'avons pas assez d'hommes.

[00:49:38.43]	  - Alors faites appel à  l'armée.

[00:49:40.39]	  - Nous n'avons pratiquement plus aucun soldat anglais

[00:49:42.06]	  et les soldats indiens sont divisés par religion.

[00:49:44.86]	  Comment voulez-vous demander aux sikhs

[00:49:47.06]	  de faire feu sur des sikhs

[00:49:48.59]	  et à  des musulmans sur des musulmans?

[00:49:50.29]	  Je vous assure, Dickie, l'Inde est un navire en feu.

[00:49:50.96]	  

[00:49:52.83]	  - Papa, je viens de recevoir un télégramme--

[00:49:55.26]	  - Pamela, ne nous interromps pas!

[00:49:57.26]	  - De la part du roi. - Rassemblez-les

[00:49:58.76]	  autour de la table. Tous les dirigeants.

[00:49:59.39]	

[00:50:00.43]	 Pammy! (sanglots)

[00:50:00.69]	  

[00:50:03.89]	  Je suis désolé.

[00:50:07.03]	  S'il te plaî t, dis-moi ce qu'il y a.

[00:50:09.09]	  - La princesse Elizabeth va épouser Philipp.

[00:50:10.26]	  

[00:50:12.23]	  - Ah! Mais quelle bonne nouvelle!

[00:50:15.43]	  - Ils veulent que je sois leur demoiselle d'honneur.

[00:50:17.36]	  - Magnifique, Pammy.

[00:50:19.86]	  Ressaisis-toi. Il ne faut pas que tu faiblisses.

[00:50:20.86]	  

[00:50:22.66]	  Surtout en public.

[00:50:24.46]	

[00:50:26.46]	  

[00:50:31.33]	 -  Le vice-roi, accompagné   de sa femme et de sa fille,

[00:50:35.53]	     s'est envolé vers   le nord-ouest et le Pendjab,

[00:50:37.93]	    ouù  des luttes communautaires   ont récemment eu lieu.

[00:50:39.83]	    Il s'est rendu dans   plusieurs des endroits

[00:50:40.93]	  

[00:50:43.63]	    ouù  les pires affrontements    se sont produits

[00:50:45.79]	     et a pu constater   la gravité des émeutes

[00:50:47.69]	     et l'ampleur des dégâ ts.

[00:50:49.86]	  (musique triste)

[00:50:51.46]	

[00:50:53.39]	  

[00:51:28.93]	 - Il faut que Jinnah soit le premier ministre

[00:51:32.53]	  de l'Inde indépendante.

[00:51:34.76]	  - Bapuji, c'est voué à  l'échec!

[00:51:36.43]	  - Qu'est-ce qui vous fait dire ça?

[00:51:38.79]	  - Bapu, malgré notre bonne volonté,

[00:51:40.63]	  Jinnah n'acceptera jamais.

[00:51:43.53]	  - Il n'a mê me pas voulu venir s'asseoir avec nous.

[00:51:45.39]	  Pour lui, les négociations sont terminées.

[00:51:47.86]	  - Je crois que c'est une idée trè s audacieuse.

[00:51:50.23]	  - Audacieuse, certes, mais faisable?

[00:51:53.06]	  Jinnah n'est pas idiot, Dickie.

[00:51:56.23]	  Il sait qu'on ne peut pas soumettre

[00:51:58.49]	  300 millions d'hindous aux lois de la Ligue musulmane.

[00:52:00.29]	  Ils n'accepteront pas ça.

[00:52:04.09]	  - Mais si vous, les dirigeants, lui apportez votre soutien...

[00:52:05.23]	  - On est une démocratie.

[00:52:07.63]	  Dè s que l'occasion se présentera,

[00:52:09.19]	  le peuple le rejettera en masse.

[00:52:11.39]	  - Ce qui nous ramè nera à  la case départ:

[00:52:12.83]	  la minorité musulmane et le Pakistan.

[00:52:16.16]	  - Je suis d'accord. - Pourquoi refusez-vous

[00:52:18.53]	  de comprendre que si l'on s'oppose à  la partition,

[00:52:20.36]	  l'Inde demeurera unie.

[00:52:23.73]	  - Combien de villes plongeront dans le sang?

[00:52:26.53]	  On essaye depuis trop longtemps de sortir de cette impasse!

[00:52:27.76]	  

[00:52:29.46]	  - Singh, Kumar.

[00:52:32.36]	

[00:52:34.69]	  

[00:52:39.19]	 - Pendant ce temps, le monde avance,

[00:52:43.43]	  pas comme nous le souhaitons, mais il continue d'avancer.

[00:52:46.23]	  Nous allons l'avoir, notre indépendance.

[00:52:49.03]	  Laissez Jinnah créer son Pakistan.

[00:52:51.13]	  - Oui. Il a raison. - Vous verrez.

[00:52:53.36]	  Dans cinq ans, il frappera à  notre porte

[00:52:55.13]	  en demandant à  refaire partie de l'Inde.

[00:52:57.63]	  - Ce n'est pas possible de trancher un coeur

[00:52:59.59]	  et de se dire qu'il continuera à  battre.

[00:53:01.96]	  - Gandhiji, comment parvenir à  un accord avec Jinnah

[00:53:04.36]	  si vous et Nehru divergez sur ces points?

[00:53:06.76]	  Pendant que nous débattons, la violence augmente.

[00:53:08.96]	  - On peut tout à  fait lui donner les provinces

[00:53:11.73]	  à  grande majorité musulmane.

[00:53:14.76]	  Mais il est hors de question

[00:53:16.36]	  que Jinnah ait le Pendjab ou le Bengale...

[00:53:17.99]	  Ces deux régions ont une population élevée

[00:53:19.99]	  d'hindous et de sikhs.

[00:53:23.03]	  - On peut aussi partager ces deux provinces

[00:53:24.16]	  entre les deux pays.

[00:53:27.63]	  La moitié du Pendjab et du Bengale à  l'Inde

[00:53:28.43]	

[00:53:29.26]	 et l'autre moitié au Pakistan.

[00:53:32.69]	  La partition.

[00:53:36.19]	  - Et qui est le dieu parmi vous

[00:53:38.86]	  qui décidera ouù  devra passer la frontiè re?

[00:53:40.56]	

[00:53:43.23]	  

[00:53:54.66]	 - Vous avez vous-mê me plusieurs fois

[00:53:58.36]	  évoqué la beauté du compromis.

[00:54:01.29]	  Ce compromis sera empreint de beauté, Bapu,

[00:54:02.76]	  

[00:54:04.36]	

[00:54:05.03]	 parce qu'il apportera la paix.

[00:54:08.73]	  - Les cors que j'ai aux pieds,

[00:54:11.09]	  toutes ces années de prison,

[00:54:14.66]	  les espérances et les rê ves de notre peuple.

[00:54:16.93]	

[00:54:18.46]	 Tout ça était pour l'indépendance,

[00:54:22.03]	  pas pour la partition.

[00:54:25.06]	  - Personne n'écoute Gandhiji.

[00:54:28.29]	  - M. Mountbatten et Nehru semblent d'accord.

[00:54:29.66]	  Le Pakistan va devenir une réalité.

[00:54:32.56]	  - Allah soit loué, mes frè res!

[00:54:35.83]	  - Pakistan Zindabad! - Notre Pakistan, Mohsin!

[00:54:37.99]	  - C'est ça, nos mè res et nos soeurs se cachent toutes

[00:54:39.76]	  à  cause de vous, bande de brutes.

[00:54:41.59]	  - C'est vous les brutes!

[00:54:43.43]	  (Gandhi): Toutes les religions se valent.

[00:54:45.26]	  Nous sommes tous des frè res avec une seule 9¤ de.

[00:54:48.49]	     Nous diviser pour   des raisons religieuses...

[00:54:50.06]	

[00:54:51.83]	   est contre la volonté de Dieu.

[00:54:53.96]	  

[00:54:55.86]	    La partition n'engendre pas    la paix.

[00:54:57.09]	  

[00:54:58.36]	

[00:54:59.66]	 Elle engendre la violence.

[00:55:03.69]	    La partition déchaî ne   les passions

[00:55:05.29]	

[00:55:06.16]	   au lieu de les apaiser.

[00:55:10.13]	  Nous finirons par nous entredéchirer tous

[00:55:13.36]	  dans le ventre de la mè re qui nous porte.

[00:55:15.79]	  - On ne tolérera pas ça dans le palais du vice-roi!

[00:55:18.89]	  Vous ê tes renvoyés, tous les deux!

[00:55:21.93]	

[00:55:23.96]	  

[00:55:27.93]	 - Non, Mohsin! Arrê te! - Mohsin!

[00:55:31.49]	  - Qu'est-ce que tu fais?

[00:55:33.66]	  - Va faire tes bagages. - Mohsin!

[00:55:35.36]	  - Les gardes t'escorteront jusqu'à  la sortie.

[00:55:36.86]	  - C'est nous les gardes. - Nous, partir?

[00:55:37.73]	  

[00:55:39.43]	  C'est vous qui n'avez plus votre place ici.

[00:55:41.16]	  - Un mot de plus et je vous fais mettre aux arrê ts.

[00:55:42.83]	  (réactions) - Vous ê tes fou?

[00:55:44.63]	  - Emmenez-les.

[00:55:47.49]	  - Va-t'en.

[00:55:49.13]	  - Remettez-vous au travail, au travail.

[00:55:51.03]	  - Venez, allez, venez. - Dépê chez-vous!

[00:55:52.39]	

[00:55:54.73]	  

[00:56:02.26]	 C'est encore pire qu'un samedi soir en EÉ cosse.

[00:56:05.36]	

[00:56:06.26]	 Merci, mon ami.

[00:56:08.76]	  

[00:56:09.36]	

[00:56:10.26]	 Merci.

[00:56:11.56]	  

[00:56:13.36]	

[00:56:15.69]	 - Que s'est-il passé entre Ewart et le personnel?

[00:56:18.53]	  Vous y étiez, non?

[00:56:20.56]	  - Oui, monsieur. C'était horrible.

[00:56:22.16]	  - Je viens de voir Pug. Vous allez à  Londres avec lui?

[00:56:24.69]	

[00:56:26.03]	 - Nous devons absolument tout faire

[00:56:28.56]	  

[00:56:30.19]	  pour convaincre le gouvernement d'avaliser la partition.

[00:56:31.63]	  Nous allons mettre les dirigeants

[00:56:34.39]	  devant le fait accompli en accélérant le processus.

[00:56:35.83]	  Autrement, le massacre va continuer.

[00:56:38.73]	  - Quand exactement alliez-vous me dire

[00:56:40.43]	  que vous approuviez l'idée de la partition?

[00:56:41.73]	  - C'est la seule façon d'avancer.

[00:56:43.76]	  - CÇ a fait deux mois à  peine que nous sommes ici.

[00:56:45.26]	  - Oui, et le pays est à  feu et à  sang.

[00:56:47.13]	  - Dickie, cette décision sera irréversible.

[00:56:49.89]	  - Il n'y a plus de place pour l'indécision.

[00:56:50.89]	  Il faut que j'agisse.

[00:56:53.26]	  - Vous allez dans une direction

[00:56:54.46]	  et tout à  coup, vous en changez.

[00:56:55.89]	  Vous ê tes vice-roi, pas navigateur.

[00:56:57.79]	  - Le nombre de morts ne cesse d'augmenter.

[00:56:59.16]	  Meurtres, viols, représailles.

[00:57:01.83]	  De Calcutta à  Bombay, d'Amritsar à  Kahuta!

[00:57:03.19]	  Imaginez ces horribles scè nes

[00:57:05.83]	  multipliées dans toutes les villes!

[00:57:07.56]	  Combien de temps encore voulez-vous que j'attende?

[00:57:08.46]	

[00:57:09.46]	 - Comment est-ce possible

[00:57:11.53]	  

[00:57:13.33]	  que ça empire depuis qu'on est ici?

[00:57:14.63]	  - C'est là  que je veux en venir.

[00:57:16.66]	  Nous n'avons plus aucun contrô le.

[00:57:18.96]	  Mais une solution s'offre à  nous.

[00:57:20.59]	  - Tout de mê me, la partition...

[00:57:22.93]	  CÇ a peut sembler une solution maintenant,

[00:57:25.86]	  mais dans quelque temps--

[00:57:28.03]	  - J'ai déjà  assez de mal à  négocier avec eux, Edwina.

[00:57:28.76]	

[00:57:31.63]	  

[00:57:34.46]	 - Vous avez mon soutien.

[00:57:38.16]	  - Mais pas votre approbation.

[00:57:40.46]	  - Vous n'en avez pas besoin.

[00:57:43.19]	  - Il faut que je persuade le premier ministre Churchill

[00:57:45.16]	  et l'opposition, alors que je n'arrive pas

[00:57:47.06]	  à  vous persuader, vous.

[00:57:48.96]	  - Nous sommes venus rendre sa liberté à  ce pays.

[00:57:49.73]	  

[00:57:50.93]	

[00:57:51.46]	 Pas le mettre en piè ces.

[00:57:55.13]	  - Nous n'avons pas le choix.

[00:57:58.09]	  Si nous ne transférons pas le pouvoir maintenant,

[00:58:00.06]	  bien vite, il ne restera plus rien à  transférer.

[00:58:01.46]	  (musique douce)

[00:58:03.29]	

[00:58:06.06]	  

[00:58:07.99]	 -  Le vice-roi revient   en Grande-Bretagne en avion

[00:58:12.33]	  pour une série de consultations   de la plus haute importance

[00:58:14.89]	  sur le retrait des Britanniques   de l'Inde.

[00:58:17.63]	    Nous espérons vivement

[00:58:20.23]	     que le vice-roi trouvera   une solution.

[00:58:21.69]	    Les violentes émeutes   s'aggravant,

[00:58:23.83]	     surtout dans le Pendjab,

[00:58:25.79]	     la passation de pouvoirs

[00:58:27.43]	    s'avè re ê tre   un énorme problè me.

[00:58:29.53]	  - Le couvre-feu a été imposé à  Lahore et à  Calcutta.

[00:58:31.16]	  Et de vastes zones du Bengale et du Pendjab

[00:58:34.69]	  ne sont toujours pas sû res.

[00:58:37.93]	  - Lahore et Calcutta?

[00:58:40.26]	  - Rawalpindi et tous les villages environnants

[00:58:41.63]	  se trouvent dans une situation critique.

[00:58:44.53]	  Nous savons que certains parmi vous

[00:58:47.46]	  ont de la famille dans ces régions.

[00:58:49.86]	  Ils peuvent tous vous rejoindre ici.

[00:58:52.46]	  - Avancez, s'il vous plaî t.

[00:58:55.26]	  -  Un hébergement sommaire   sera assuré

[00:58:57.03]	    et la nourriture sera   rationnée pour suffire à  tous.

[00:58:59.43]	    Un fonds d'aide vient   d'ê tre créé.

[00:59:02.69]	  - Monsieur! Votre fils.

[00:59:05.16]	  (conversation indistincte)

[00:59:06.93]	

[00:59:08.83]	 - Pamela, Pamela. - Je suis là , Aalia.

[00:59:08.93]	  

[00:59:12.69]	  - Cet enfant est brû lant de fiè vre.

[00:59:15.39]	  - Oui, il est déshydraté.

[00:59:17.86]	

[00:59:19.76]	  

[00:59:22.59]	 - Nous pouvons vous accorder une permission spéciale

[00:59:26.23]	  pour vous rendre chez vous

[00:59:28.99]	  et ramener vos plus proches parents.

[00:59:30.99]	  - Il faut absolument que j'aille au village.

[00:59:33.19]	  Les réfugiés racontent plein d'horreurs.

[00:59:34.79]	  Je vais à  Lahore.

[00:59:36.16]	  - Attends.

[00:59:37.83]	  La violence est due à  l'incertitude.

[00:59:39.39]	  Si les Britanniques font ce que Mountbatten dit,

[00:59:43.19]	  c'est sû r que la violence s'arrê tera, Duleep.

[00:59:45.59]	  - Et tu lui fais confiance?

[00:59:48.26]	  Notre village, il sera dans quel pays?

[00:59:49.86]	  Et si c'est le Pakistan?

[00:59:53.03]	  C'est une vraie folie qui atteint toute l'Inde.

[00:59:54.26]	  La haine.

[00:59:57.73]	  Les soldats désertent l'armée.

[00:59:59.06]	  Des hommes de villages voisins commencent

[01:00:00.79]	  à  s'organiser en milice. Ils veulent notre terre.

[01:00:02.36]	

[01:00:06.03]	 - Dans ce cas, je pars avec toi.

[01:00:06.59]	  

[01:00:09.33]	  - Non.

[01:00:11.29]	  - Ce serait mieux que tu restes ici.

[01:00:12.53]	  T'imagines s'ils sont déjà  partis,

[01:00:15.13]	  s'ils arrivent et qu'ils trouvent personne?

[01:00:16.46]	  Tu restes.

[01:00:18.89]	  Moi, j'y vais.

[01:00:19.63]	

[01:00:21.63]	  

[01:00:23.09]	 (musique douce)

[01:00:26.19]	

[01:00:28.19]	  

[01:00:37.46]	 - Vous avez vu ça, monsieur?

[01:00:40.56]	

[01:00:41.76]	  

[01:01:06.46]	 - Ah! - Bienvenue, papa.

[01:01:09.99]	  - Merci, ma chérie.

[01:01:12.89]	  - Comment était Westminster? - D'une fraî cheur exquise.

[01:01:15.53]	  - Le cabinet a approuvé le plan sans la moindre difficulté.

[01:01:17.43]	  Nous avons le feu vert pour déclencher l'indépendance

[01:01:20.66]	  plus vite que prévu. - Qu'en pense Churchill?

[01:01:22.56]	  - Je l'ai trouvé assez optimiste.

[01:01:24.33]	  Et il a accepté le plan.

[01:01:25.83]	  - Il était trè s élogieux.

[01:01:28.09]	  Il a dit que Dickie, en seulement quelques semaines,

[01:01:29.83]	  avait accompli ce que Wavell et les vices-rois précédents

[01:01:32.23]	  n'avaient pas pu faire durant des années.

[01:01:36.06]	  Le gouvernement et la presse ont trouvé un nom.

[01:01:38.36]	

[01:01:39.03]	 Le plan Mountbatten.

[01:01:42.46]	  Beau travail.

[01:01:44.09]	

[01:01:46.43]	 - Le plan Mountbatten?

[01:01:46.76]	  

[01:01:49.53]	

[01:01:50.86]	 - Monsieur Jinnah!

[01:01:52.19]	  

[01:01:54.79]	  Comment comptez-vous enrayer la violence?

[01:01:55.83]	  - Aucun commentaire.

[01:01:57.26]	  - Le Pakistan est la réponse? (brouhaha)

[01:02:00.16]	  - Comment comptez-vous arrê ter l'escalade de violence?

[01:02:01.79]	  - Monsieur Nehru, par ici, s'il vous plaî t.

[01:02:03.13]	  (brouhaha)

[01:02:04.76]	

[01:02:07.53]	 - S'il vous plaî t, monsieur Nehru!

[01:02:11.53]	  - Quelle est votre solution pour mettre fin aux troubles?

[01:02:12.19]	

[01:02:14.26]	 - Bien...

[01:02:15.36]	  

[01:02:18.09]	  Pourquoi Gandhi n'est pas présent?

[01:02:19.19]	  - Il vous prie de l'excuser.

[01:02:20.93]	  Mais il ne peut pas adhérer au plan Mountbatten.

[01:02:22.39]	  - Pourquoi? Il est contre?

[01:02:26.06]	  Il va dire ce qu'il pense? Il va le saboter?

[01:02:27.56]	  Qu'est-ce qu'il va faire? - Bapuji m'a fait savoir

[01:02:29.46]	  qu'aujourd'hui était sa journée de silence.

[01:02:30.36]	

[01:02:32.03]	 - Pourquoi devons-nous précipiter les choses?

[01:02:33.46]	  

[01:02:36.06]	  Je voulais tout le Pendjab et tout le Bengale.

[01:02:39.59]	  Vous croyez vraiment que je vais accepter

[01:02:42.13]	  un Pakistan mangé aux mites?

[01:02:44.69]	  - Vous devriez vous estimer heureux.

[01:02:46.63]	  Vous nous faites du chantage depuis trop longtemps.

[01:02:48.86]	  - Monsieur Nehru, c'est vous et Gandhi--

[01:02:51.33]	  - C'est moi qui préside ce conseil!

[01:02:53.19]	  Je vous demande de vous respecter mutuellement.

[01:02:54.53]	  Le gouvernement britannique

[01:02:56.93]	  a formellement approuvé la partition de l'Inde.

