Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13:03]	 (rumeur de rue) 
[00:42:05:17]	 - Votre famille vient du Pendjab, c'est bien ça?

[00:42:09:15]	  - Oui, monsieur. C'est bien ça.

[00:42:11:25]	  Dans mon village, j'ai cinq soeurs,

[00:42:14:05]	  13 niè ces et neuf neveux.

[00:42:16:29]	  La famille de Duleep habite dans le mê me village.

[00:42:18:29]	  - Vous avez des voisins musulmans?

[00:42:21:07]	  

[00:42:22:00]	  - Bien sû r, monsieur.

[00:42:23:28]	  Tous les enfants s'amusent ensemble.

[00:42:25:23]	  Ils célè brent Diwali avec nous

[00:42:27:23]	  et nous célébrons l'Aiï d avec eux.

[00:42:29:18]	  Parfois, il arrive mê me que l'on se marie entre nous.

[00:42:31:25]	

[00:42:34:01]	 - Vous ê tes marié?

[00:42:37:11]	  - Non.

[00:42:38:29]	  D'ailleurs, j'ignore si c'est ma destinée.

[00:42:41:01]	  Ma mè re ne rê ve que de ça.

[00:42:43:21]	  - Et votre pè re?

[00:42:45:21]	

[00:42:46:26]	  

[00:42:48:21]	 - Il est mort, monsieur.

[00:42:52:05]	

[00:42:53:11]	 Quand j'étais enfant.

[00:42:54:07]	  

[00:42:56:25]	  Il a été tué par les Anglais

[00:42:58:20]	  dans le carnage de Jallianwala Bagh.

[00:43:01:00]	

[00:43:03:13]	  

[00:43:05:08]	 (musique douce)

[00:43:08:19]	

[00:43:10:21]	  

[00:43:12:01]	 (salutations)

[00:43:15:11]	

[00:43:17:13]	  

[00:43:26:02]	 - C'est un honneur de vous rencontrer, Bapuji.

[00:43:30:00]	

[00:43:32:07]	  

[00:43:34:29]	 - Namaste, Bapuji.

[00:43:38:11]	

[00:43:40:01]	  

[00:43:40:19]	 (brouhaha des journalistes)

[00:43:44:06]	  - Monsieur Gandhi, s'il vous plaî t!

[00:43:46:14]	  (musique douce)

[00:43:48:04]	

[00:43:50:15]	  

[00:43:52:24]	 - Nous, les Indiens, avons toujours manifesté,

[00:43:56:21]	  fait campagne et jeû né ensemble.

[00:43:59:26]	  Indépendamment des croyances et des classes sociales.

[00:44:02:06]	  Depuis longtemps,

[00:44:05:08]	  nous sommes unis dans notre désir

[00:44:06:18]	  de nous opposer à  un oppresseur.

[00:44:08:18]	  - Et maintenant, nous nous en allons.

[00:44:10:26]	  - La liberté, bien que voulue par tous,

[00:44:12:26]	  

[00:44:13:29]	  inspire de la crainte.

[00:44:16:29]	  - Et la crainte amè ne la violence.

[00:44:19:21]	  C'est contagieux.

[00:44:21:15]	  - Mais le courage est encore plus contagieux.

[00:44:23:12]	  

[00:44:24:14]	  (rires)

[00:44:27:09]	

[00:44:29:12]	 Voulez-vous que je vous dise quelle est la solution?

[00:44:32:29]	

[00:44:35:20]	  

[00:44:37:07]	 On devrait donner à  Jinnah

[00:44:40:24]	  de former le premier gouvernement.

[00:44:42:11]	  - De l'Inde indépendante?

[00:44:44:13]	  

[00:44:45:25]	

[00:44:47:16]	  

[00:44:48:13]	 - Le congrè s devra ê tre préparé à  accepter

[00:44:52:11]	  d'ê tre dirigé par la Ligue musulmane

[00:44:54:25]	  si c'est, bien entendu, le seul moyen

[00:44:57:00]	  d'assurer l'unité de notre pays.

[00:45:00:03]	  - Vous seriez prê ts à  donner le pays aux musulmans

[00:45:02:13]	  plutô t que le diviser en deux parties?

[00:45:04:15]	  Mais c'est...

[00:45:06:04]	

[00:45:06:11]	 ...une démarche pleine d'audace.

[00:45:08:00]	  

[00:45:10:01]	  - Vous croyez que le congrè s

[00:45:11:20]	  pourrait accepter une chose pareille?

[00:45:13:09]	  - Et Jinnah?

[00:45:14:29]	  - Il est essentiel de rallumer la lampe

[00:45:16:26]	  de la fraternité entre hindous, musulmans et sikhs.

[00:45:19:15]	  - Vous me donnez l'espoir

[00:45:22:15]	  que la raison finira par vaincre.

[00:45:24:05]	  - Ce n'est pas la raison dont nous avons besoin.

[00:45:26:29]	  Nous avons besoin d'une force beaucoup plus grande.

[00:45:29:05]	  

[00:45:30:11]	

[00:45:30:24]	 Une force rarement évoquée par les hommes politiques.

[00:45:33:07]	  

[00:45:34:25]	

[00:45:35:12]	 - L'amour.

[00:45:38:20]	  - Précisément. (rire)

[00:45:40:14]	  J'espè re que vous me ferez l'honneur

[00:45:43:13]	  de goû ter à  ma nourriture.

[00:45:44:25]	  C'est du caillé de chè vre. J'adore ça.

[00:45:46:10]	  - Ah, oui? - Vous devez y goû ter.

[00:45:47:29]	  - Désolé. - J'insiste.

[00:45:49:11]	  Une cuiller, je vous prie. - D'accord.

[00:45:50:23]	  - Goû tez-moi ça.

[00:45:52:00]	  C'est meilleur que le lait de vache.

[00:45:53:11]	  - Souhaitez-moi bonne chance.

[00:45:55:13]	  Alors...

[00:45:56:15]	  

[00:45:58:00]	  - C'est délicieux, n'est-ce pas?

[00:45:59:15]	  

[00:46:01:01]	  Vous voulez y goû ter, vous aussi?

[00:46:03:23]	  - Allons, chérie, n'ayez crainte.

[00:46:06:16]	  - Merci.

[00:46:08:14]	

[00:46:08:21]	 - Je me souviens qu'il y a quelque chose de similaire...

[00:46:10:10]	  

[00:46:12:24]	  - Tu as dit à  Asif que c'était trop tard pour lui?

[00:46:14:26]	  

[00:46:16:18]	  - Comment lui dire?

[00:46:18:22]	  

[00:46:19:28]	  (soupir)

[00:46:22:03]	  - Mais c'est la vérité.

[00:46:24:00]	  - Mon pè re a déjà  beaucoup perdu.

[00:46:26:02]	  

[00:46:27:00]	  Sa femme, la vue...

[00:46:29:05]	  

[00:46:30:14]	

[00:46:31:17]	 C'est un homme fier qui ne peut pas travailler

[00:46:32:16]	  

[00:46:35:15]	  et qui dépend de moi.

[00:46:38:11]	  Avant l'arrivée d'Asif, j'avais oublié

[00:46:40:13]	  

[00:46:42:00]	  ce que c'était de voir mon pè re vraiment sourire.

[00:46:43:25]	  - Moi, je l'ai toujours fait sourire, ton pè re.

[00:46:47:05]	  Et toi aussi.

[00:46:49:21]	  - Aalia. Tout va bien?

[00:46:51:28]	  - Oui, mademoiselle.

[00:46:54:15]	

[00:46:56:22]	  

[00:46:58:25]	 (musique classique)

[00:47:02:08]	  - Et c'est à  ce moment-là  que sa majesté m'a pris le bras

[00:47:04:10]	  

[00:47:06:05]	  et m'a dit: Mon garçon...

[00:47:09:23]	  - Votre excellence! - Bienvenue, monsieur Jinnah.

[00:47:11:24]	  - Je vous présente M. Henri F. Grady,

[00:47:14:24]	  ambassadeur des EÉ tats-Unis.

[00:47:16:10]	  - Enchanté, vos excellences.

[00:47:18:01]	  - Bienvenue, monsieur l'ambassadeur.

[00:47:19:11]	  - Ambassadeur auprè s d'un pays ou de deux?

[00:47:21:05]	  Le monde entier a trè s envie de savoir.

[00:47:23:05]	  - Cela dépend peut-ê tre de M. Jinnah.

[00:47:25:15]	  

[00:47:26:15]	  - CÇ a doit ê tre frustrant pour vous

[00:47:28:09]	  d'ê tre forcés de rendre ce palais.

[00:47:30:19]	  - Pas du tout.

[00:47:33:01]	  - Il faut avouer qu'il est grand temps.

[00:47:34:11]	  - Aalia...

[00:47:36:16]	  imagine la vie au Pakistan.

[00:47:38:20]	  Pas de préjugés. Pas de tension.

[00:47:40:20]	  C'est une nation dont nos enfants seront fiers.

[00:47:43:00]	  - Toi et moi, on est nés en Inde.

[00:47:45:18]	  Et nos parents, nos ancê tres sont enterrés dans ce pays.

[00:47:47:20]	  On ne peut pas partir, Asif.

[00:47:50:28]	  - On viendra en visite.

[00:47:52:23]	  Je conduirai ma jolie femme dans la voiture de M. Jinnah.

[00:47:54:16]	  Pourquoi on ne serait pas heureux? Tu peux me dire?

[00:47:56:20]	  

[00:47:58:00]	

[00:47:58:05]	 On vient de vivre des années difficiles

[00:48:00:02]	  

[00:48:01:29]	  et je t'ai toujours gardé dans mon coeur.

[00:48:04:11]	  Toujours.

[00:48:06:16]	

[00:48:09:00]	  

[00:48:12:18]	 - Je ne suis qu'une écoliè re là -dessus.

[00:48:16:13]	  - Et moi, je n'étais qu'un petit garçon.

[00:48:18:25]	

[00:48:20:03]	 Mais je savais...

[00:48:20:27]	  

[00:48:23:14]	

[00:48:24:07]	 - Asif...

[00:48:25:16]	  

[00:48:27:14]	  Je ne suis plus l'écoliè re de la photo.

[00:48:29:03]	  

[00:48:30:25]	

[00:48:33:10]	 - Cette distance que tu gardes est compréhensible.

[00:48:37:05]	

[00:48:37:23]	 Tu devais penser que je t'avais abandonnée.

[00:48:39:17]	  

[00:48:41:18]	

[00:48:42:22]	 Mais je suis prè s de toi maintenant.

[00:48:43:20]	  

[00:48:46:15]	  S'il te plaî t.

[00:48:48:20]	  Donne-moi une chance.

[00:48:50:22]	  

[00:48:51:20]	  Je te prouverai que je peux m'occuper de toi.

[00:48:53:04]	

[00:48:55:02]	  

[00:48:56:21]	 - Madame Jinnah, il me tardait de vous rencontrer.

[00:49:00:21]	  - Moi également.

[00:49:02:25]	  - Votre excellence.

[00:49:04:05]	  Puis-je vous parler?

[00:49:05:18]	  - Veuillez m'excuser.

[00:49:07:10]	  - Votre excellence. - Un instant, je vous prie.

[00:49:09:15]	

[00:49:09:29]	 Je ne devrais pas quitter cette conversation.

[00:49:11:17]	  

[00:49:13:26]	  J'espè re que c'est important, Pug.

[00:49:16:01]	  - En tout cas, ça ne va pas vous plaire.

[00:49:17:15]	  Il vient d'y avoir un massacre au Pendjab.

[00:49:19:20]	  La moitié de Rawalpindi est en feu.

[00:49:21:19]	  Les musulmans brû lent les maisons

[00:49:23:29]	  des hindous et des sikhs.

[00:49:25:11]	  De violentes représailles ont lieu dans les rues musulmanes.

[00:49:27:06]	  - Envoyez la police du Pendjab de toute urgence.

[00:49:29:20]	  - Je l'ai déjà  fait! - Si ça doit recommencer...

[00:49:32:06]	  - CÇ a peut arriver dans les 18 000 villes du Pendjab.

[00:49:34:16]	  Nous n'avons pas assez d'hommes.

[00:49:37:20]	  - Alors faites appel à  l'armée.

[00:49:39:08]	  - Nous n'avons pratiquement plus aucun soldat anglais

[00:49:41:00]	  et les soldats indiens sont divisés par religion.

[00:49:44:00]	  Comment voulez-vous demander aux sikhs

[00:49:46:13]	  de faire feu sur des sikhs

[00:49:47:21]	  et à  des musulmans sur des musulmans?

[00:49:49:05]	  Je vous assure, Dickie, l'Inde est un navire en feu.

[00:49:50:28]	  

[00:49:51:26]	  - Papa, je viens de recevoir un télégramme--

[00:49:54:14]	  - Pamela, ne nous interromps pas!

[00:49:56:13]	  - De la part du roi. - Rassemblez-les

[00:49:57:25]	  autour de la table. Tous les dirigeants.

[00:49:59:09]	

[00:50:00:00]	 Pammy! (sanglots)

[00:50:00:20]	  

[00:50:03:13]	  Je suis désolé.

[00:50:06:04]	  S'il te plaî t, dis-moi ce qu'il y a.

[00:50:08:04]	  - La princesse Elizabeth va épouser Philipp.

[00:50:10:07]	  

[00:50:11:13]	  - Ah! Mais quelle bonne nouvelle!

[00:50:14:10]	  - Ils veulent que je sois leur demoiselle d'honneur.

[00:50:16:25]	  - Magnifique, Pammy.

[00:50:18:25]	  Ressaisis-toi. Il ne faut pas que tu faiblisses.

[00:50:20:25]	  

[00:50:22:05]	  Surtout en public.

[00:50:24:11]	

[00:50:26:13]	  

[00:50:30:03]	 -  Le vice-roi, accompagné   de sa femme et de sa fille,

[00:50:34:10]	     s'est envolé vers   le nord-ouest et le Pendjab,

[00:50:36:18]	    ouù  des luttes communautaires   ont récemment eu lieu.

[00:50:38:20]	    Il s'est rendu dans   plusieurs des endroits

[00:50:40:27]	  

[00:50:42:14]	    ouù  les pires affrontements    se sont produits

[00:50:44:21]	     et a pu constater   la gravité des émeutes

[00:50:47:00]	     et l'ampleur des dégâ ts.

[00:50:49:13]	  (musique triste)

[00:50:51:11]	

[00:50:53:11]	  

[00:51:28:01]	 - Il faut que Jinnah soit le premier ministre

[00:51:31:28]	  de l'Inde indépendante.

[00:51:34:00]	  - Bapuji, c'est voué à  l'échec!

[00:51:35:18]	  - Qu'est-ce qui vous fait dire ça?

[00:51:37:29]	  - Bapu, malgré notre bonne volonté,

[00:51:40:00]	  Jinnah n'acceptera jamais.

[00:51:42:13]	  - Il n'a mê me pas voulu venir s'asseoir avec nous.

[00:51:44:13]	  Pour lui, les négociations sont terminées.

[00:51:46:25]	  - Je crois que c'est une idée trè s audacieuse.

[00:51:49:11]	  - Audacieuse, certes, mais faisable?

[00:51:52:10]	  Jinnah n'est pas idiot, Dickie.

[00:51:55:13]	  Il sait qu'on ne peut pas soumettre

[00:51:57:10]	  300 millions d'hindous aux lois de la Ligue musulmane.

[00:51:59:21]	  Ils n'accepteront pas ça.

[00:52:02:24]	  - Mais si vous, les dirigeants, lui apportez votre soutien...

[00:52:04:20]	  - On est une démocratie.

[00:52:06:24]	  Dè s que l'occasion se présentera,

[00:52:08:13]	  le peuple le rejettera en masse.

[00:52:10:14]	  - Ce qui nous ramè nera à  la case départ:

[00:52:11:28]	  la minorité musulmane et le Pakistan.

[00:52:15:05]	  - Je suis d'accord. - Pourquoi refusez-vous

[00:52:17:14]	  de comprendre que si l'on s'oppose à  la partition,

[00:52:19:24]	  l'Inde demeurera unie.

[00:52:22:23]	  - Combien de villes plongeront dans le sang?

[00:52:25:08]	  On essaye depuis trop longtemps de sortir de cette impasse!

[00:52:27:22]	  

[00:52:29:00]	  - Singh, Kumar.

[00:52:32:08]	

[00:52:34:20]	  

[00:52:38:14]	 - Pendant ce temps, le monde avance,

[00:52:42:06]	  pas comme nous le souhaitons, mais il continue d'avancer.

[00:52:45:09]	  Nous allons l'avoir, notre indépendance.

[00:52:48:06]	  Laissez Jinnah créer son Pakistan.

[00:52:50:09]	  - Oui. Il a raison. - Vous verrez.

[00:52:52:14]	  Dans cinq ans, il frappera à  notre porte

[00:52:54:06]	  en demandant à  refaire partie de l'Inde.

[00:52:56:19]	  - Ce n'est pas possible de trancher un coeur

[00:52:58:19]	  et de se dire qu'il continuera à  battre.

[00:53:00:25]	  - Gandhiji, comment parvenir à  un accord avec Jinnah

[00:53:03:13]	  si vous et Nehru divergez sur ces points?

[00:53:05:20]	  Pendant que nous débattons, la violence augmente.

[00:53:07:28]	  - On peut tout à  fait lui donner les provinces

[00:53:11:01]	  à  grande majorité musulmane.

[00:53:14:03]	  Mais il est hors de question

[00:53:15:14]	  que Jinnah ait le Pendjab ou le Bengale...

[00:53:17:01]	  Ces deux régions ont une population élevée

[00:53:19:13]	  d'hindous et de sikhs.

[00:53:22:03]	  - On peut aussi partager ces deux provinces

[00:53:23:19]	  entre les deux pays.

[00:53:26:19]	  La moitié du Pendjab et du Bengale à  l'Inde

[00:53:28:10]	

[00:53:28:20]	 et l'autre moitié au Pakistan.

[00:53:32:08]	  La partition.

[00:53:35:14]	  - Et qui est le dieu parmi vous

[00:53:37:25]	  qui décidera ouù  devra passer la frontiè re?

[00:53:40:14]	

[00:53:43:06]	  

[00:53:53:27]	 - Vous avez vous-mê me plusieurs fois

[00:53:57:20]	  évoqué la beauté du compromis.

[00:54:00:11]	  Ce compromis sera empreint de beauté, Bapu,

[00:54:02:22]	  

[00:54:04:08]	

[00:54:04:13]	 parce qu'il apportera la paix.

[00:54:08:01]	  - Les cors que j'ai aux pieds,

[00:54:10:13]	  toutes ces années de prison,

[00:54:13:20]	  les espérances et les rê ves de notre peuple.

[00:54:16:25]	

[00:54:17:22]	 Tout ça était pour l'indépendance,

[00:54:21:14]	  pas pour la partition.

[00:54:24:11]	  - Personne n'écoute Gandhiji.

[00:54:27:10]	  - M. Mountbatten et Nehru semblent d'accord.

[00:54:28:25]	  Le Pakistan va devenir une réalité.

[00:54:31:25]	  - Allah soit loué, mes frè res!

[00:54:34:25]	  - Pakistan Zindabad! - Notre Pakistan, Mohsin!

[00:54:36:26]	  - C'est ça, nos mè res et nos soeurs se cachent toutes

[00:54:39:00]	  à  cause de vous, bande de brutes.

[00:54:41:01]	  - C'est vous les brutes!

[00:54:42:15]	  (Gandhi): Toutes les religions se valent.

[00:54:44:04]	  Nous sommes tous des frè res avec une seule 9¤ de.

[00:54:47:10]	     Nous diviser pour   des raisons religieuses...

[00:54:49:29]	

[00:54:51:04]	   est contre la volonté de Dieu.

[00:54:53:28]	  

[00:54:54:25]	    La partition n'engendre pas    la paix.

[00:54:57:02]	  

[00:54:58:08]	

[00:54:59:04]	 Elle engendre la violence.

[00:55:02:20]	    La partition déchaî ne   les passions

[00:55:05:06]	

[00:55:05:17]	   au lieu de les apaiser.

[00:55:09:05]	  Nous finirons par nous entredéchirer tous

[00:55:12:13]	  dans le ventre de la mè re qui nous porte.

[00:55:14:20]	  - On ne tolérera pas ça dans le palais du vice-roi!

[00:55:18:01]	  Vous ê tes renvoyés, tous les deux!

[00:55:21:25]	

[00:55:23:28]	  

[00:55:27:07]	 - Non, Mohsin! Arrê te! - Mohsin!

[00:55:30:28]	  - Qu'est-ce que tu fais?

[00:55:32:26]	  - Va faire tes bagages. - Mohsin!

[00:55:34:10]	  - Les gardes t'escorteront jusqu'à  la sortie.

[00:55:35:29]	  - C'est nous les gardes. - Nous, partir?

[00:55:37:21]	  

[00:55:38:15]	  C'est vous qui n'avez plus votre place ici.

[00:55:40:00]	  - Un mot de plus et je vous fais mettre aux arrê ts.

[00:55:42:03]	  (réactions) - Vous ê tes fou?

[00:55:44:06]	  - Emmenez-les.

[00:55:47:04]	  - Va-t'en.

[00:55:48:06]	  - Remettez-vous au travail, au travail.

[00:55:50:04]	  - Venez, allez, venez. - Dépê chez-vous!

[00:55:52:09]	

[00:55:54:21]	  

[00:56:01:10]	 C'est encore pire qu'un samedi soir en EÉ cosse.

[00:56:05:08]	

[00:56:05:28]	 Merci, mon ami.

[00:56:08:22]	  

[00:56:09:08]	

[00:56:10:02]	 Merci.

[00:56:11:16]	  

[00:56:13:08]	

[00:56:14:21]	 - Que s'est-il passé entre Ewart et le personnel?

[00:56:18:01]	  Vous y étiez, non?

[00:56:19:24]	  - Oui, monsieur. C'était horrible.

[00:56:20:29]	  - Je viens de voir Pug. Vous allez à  Londres avec lui?

[00:56:24:18]	

[00:56:25:08]	 - Nous devons absolument tout faire

[00:56:28:16]	  

[00:56:29:01]	  pour convaincre le gouvernement d'avaliser la partition.

[00:56:30:25]	  Nous allons mettre les dirigeants

[00:56:33:08]	  devant le fait accompli en accélérant le processus.

[00:56:35:00]	  Autrement, le massacre va continuer.

[00:56:37:25]	  - Quand exactement alliez-vous me dire

[00:56:39:15]	  que vous approuviez l'idée de la partition?

[00:56:40:28]	  - C'est la seule façon d'avancer.

[00:56:42:19]	  - CÇ a fait deux mois à  peine que nous sommes ici.

[00:56:44:11]	  - Oui, et le pays est à  feu et à  sang.

[00:56:46:06]	  - Dickie, cette décision sera irréversible.

[00:56:48:29]	  - Il n'y a plus de place pour l'indécision.

[00:56:50:10]	  Il faut que j'agisse.

[00:56:52:16]	  - Vous allez dans une direction

[00:56:53:21]	  et tout à  coup, vous en changez.

[00:56:55:00]	  Vous ê tes vice-roi, pas navigateur.

[00:56:56:25]	  - Le nombre de morts ne cesse d'augmenter.

[00:56:58:14]	  Meurtres, viols, représailles.

[00:57:00:25]	  De Calcutta à  Bombay, d'Amritsar à  Kahuta!

[00:57:02:14]	  Imaginez ces horribles scè nes

[00:57:04:29]	  multipliées dans toutes les villes!

[00:57:06:14]	  Combien de temps encore voulez-vous que j'attende?

[00:57:08:11]	

[00:57:08:29]	 - Comment est-ce possible

[00:57:11:15]	  

[00:57:12:14]	  que ça empire depuis qu'on est ici?

[00:57:13:25]	  - C'est là  que je veux en venir.

[00:57:15:25]	  Nous n'avons plus aucun contrô le.

[00:57:18:05]	  Mais une solution s'offre à  nous.

[00:57:19:25]	  - Tout de mê me, la partition...

[00:57:21:28]	  CÇ a peut sembler une solution maintenant,

[00:57:25:08]	  mais dans quelque temps--

[00:57:26:26]	  - J'ai déjà  assez de mal à  négocier avec eux, Edwina.

[00:57:28:20]	

[00:57:31:18]	  

[00:57:34:00]	 - Vous avez mon soutien.

[00:57:37:14]	  - Mais pas votre approbation.

[00:57:39:24]	  - Vous n'en avez pas besoin.

[00:57:42:01]	  - Il faut que je persuade le premier ministre Churchill

[00:57:44:08]	  et l'opposition, alors que je n'arrive pas

[00:57:46:14]	  à  vous persuader, vous.

[00:57:47:26]	  - Nous sommes venus rendre sa liberté à  ce pays.

[00:57:49:21]	  

[00:57:50:25]	

[00:57:50:29]	 Pas le mettre en piè ces.

[00:57:54:14]	  - Nous n'avons pas le choix.

[00:57:57:01]	  Si nous ne transférons pas le pouvoir maintenant,

[00:57:59:01]	  bien vite, il ne restera plus rien à  transférer.

[00:58:01:00]	  (musique douce)

[00:58:03:06]	

[00:58:06:01]	  

[00:58:06:24]	 -  Le vice-roi revient   en Grande-Bretagne en avion

[00:58:11:00]	  pour une série de consultations   de la plus haute importance

[00:58:13:26]	  sur le retrait des Britanniques   de l'Inde.

[00:58:16:29]	    Nous espérons vivement

[00:58:19:05]	     que le vice-roi trouvera   une solution.

[00:58:20:20]	    Les violentes émeutes   s'aggravant,

[00:58:23:05]	     surtout dans le Pendjab,

[00:58:25:04]	     la passation de pouvoirs

[00:58:26:10]	    s'avè re ê tre   un énorme problè me.

[00:58:28:11]	  - Le couvre-feu a été imposé à  Lahore et à  Calcutta.

[00:58:30:05]	  Et de vastes zones du Bengale et du Pendjab

[00:58:34:01]	  ne sont toujours pas sû res.

[00:58:37:11]	  - Lahore et Calcutta?

[00:58:39:08]	  - Rawalpindi et tous les villages environnants

[00:58:40:21]	  se trouvent dans une situation critique.

[00:58:43:20]	  Nous savons que certains parmi vous

[00:58:46:20]	  ont de la famille dans ces régions.

[00:58:49:01]	  Ils peuvent tous vous rejoindre ici.

[00:58:51:24]	  - Avancez, s'il vous plaî t.

[00:58:54:06]	  -  Un hébergement sommaire   sera assuré

[00:58:55:20]	    et la nourriture sera   rationnée pour suffire à  tous.

[00:58:58:11]	    Un fonds d'aide vient   d'ê tre créé.

[00:59:02:01]	  - Monsieur! Votre fils.

[00:59:04:16]	  (conversation indistincte)

[00:59:06:25]	

[00:59:08:01]	 - Pamela, Pamela. - Je suis là , Aalia.

[00:59:08:27]	  

[00:59:11:25]	  - Cet enfant est brû lant de fiè vre.

[00:59:14:24]	  - Oui, il est déshydraté.

[00:59:17:23]	

[00:59:19:22]	  

[00:59:21:17]	 - Nous pouvons vous accorder une permission spéciale

[00:59:25:18]	  pour vous rendre chez vous

[00:59:28:05]	  et ramener vos plus proches parents.

[00:59:30:00]	  - Il faut absolument que j'aille au village.

[00:59:32:09]	  Les réfugiés racontent plein d'horreurs.

[00:59:34:10]	  Je vais à  Lahore.

[00:59:35:24]	  - Attends.

[00:59:36:29]	  La violence est due à  l'incertitude.

[00:59:38:11]	  Si les Britanniques font ce que Mountbatten dit,

[00:59:42:04]	  c'est sû r que la violence s'arrê tera, Duleep.

[00:59:44:28]	  - Et tu lui fais confiance?

[00:59:47:11]	  Notre village, il sera dans quel pays?

[00:59:49:09]	  Et si c'est le Pakistan?

[00:59:52:00]	  C'est une vraie folie qui atteint toute l'Inde.

[00:59:53:28]	  La haine.

[00:59:57:01]	  Les soldats désertent l'armée.

[00:59:58:04]	  Des hommes de villages voisins commencent

[00:59:59:23]	  à  s'organiser en milice. Ils veulent notre terre.

[01:00:02:08]	

[01:00:05:11]	 - Dans ce cas, je pars avec toi.

[01:00:06:17]	  

[01:00:09:01]	  - Non.

[01:00:10:14]	  - Ce serait mieux que tu restes ici.

[01:00:11:21]	  T'imagines s'ils sont déjà  partis,

[01:00:14:05]	  s'ils arrivent et qu'ils trouvent personne?

[01:00:16:03]	  Tu restes.

[01:00:18:14]	  Moi, j'y vais.

[01:00:19:16]	

[01:00:21:18]	  

[01:00:22:22]	 (musique douce)

[01:00:26:03]	

[01:00:28:05]	  

[01:00:36:27]	 - Vous avez vu ça, monsieur?

[01:00:40:14]	

[01:00:41:22]	  

[01:01:05:27]	 - Ah! - Bienvenue, papa.

[01:01:09:14]	  - Merci, ma chérie.

[01:01:11:21]	  - Comment était Westminster? - D'une fraî cheur exquise.

[01:01:14:08]	  - Le cabinet a approuvé le plan sans la moindre difficulté.

[01:01:16:09]	  Nous avons le feu vert pour déclencher l'indépendance

[01:01:19:21]	  plus vite que prévu. - Qu'en pense Churchill?

[01:01:21:25]	  - Je l'ai trouvé assez optimiste.

[01:01:23:23]	  Et il a accepté le plan.

[01:01:25:06]	  - Il était trè s élogieux.

[01:01:26:29]	  Il a dit que Dickie, en seulement quelques semaines,

[01:01:28:19]	  avait accompli ce que Wavell et les vices-rois précédents

[01:01:31:09]	  n'avaient pas pu faire durant des années.

[01:01:35:01]	  Le gouvernement et la presse ont trouvé un nom.

[01:01:38:08]	

[01:01:38:18]	 Le plan Mountbatten.

[01:01:42:01]	  Beau travail.

[01:01:44:00]	

[01:01:45:29]	 - Le plan Mountbatten?

[01:01:46:22]	  

[01:01:49:13]	

[01:01:50:14]	 - Monsieur Jinnah!

[01:01:52:05]	  

[01:01:53:26]	  Comment comptez-vous enrayer la violence?

[01:01:55:09]	  - Aucun commentaire.

[01:01:56:10]	  - Le Pakistan est la réponse? (brouhaha)

[01:01:58:29]	  - Comment comptez-vous arrê ter l'escalade de violence?

[01:02:00:25]	  - Monsieur Nehru, par ici, s'il vous plaî t.

[01:02:02:23]	  (brouhaha)

[01:02:04:20]	

[01:02:06:22]	 - S'il vous plaî t, monsieur Nehru!

[01:02:10:09]	  - Quelle est votre solution pour mettre fin aux troubles?

[01:02:12:03]	

[01:02:14:01]	 - Bien...

[01:02:15:10]	  

[01:02:17:08]	  Pourquoi Gandhi n'est pas présent?

[01:02:18:16]	  - Il vous prie de l'excuser.

[01:02:19:26]	  Mais il ne peut pas adhérer au plan Mountbatten.

[01:02:21:21]	  - Pourquoi? Il est contre?

[01:02:25:03]	  Il va dire ce qu'il pense? Il va le saboter?

[01:02:26:16]	  Qu'est-ce qu'il va faire? - Bapuji m'a fait savoir

[01:02:28:15]	  qu'aujourd'hui était sa journée de silence.

[01:02:30:08]	

[01:02:31:04]	 - Pourquoi devons-nous précipiter les choses?

[01:02:33:13]	  

[01:02:35:01]	  Je voulais tout le Pendjab et tout le Bengale.

[01:02:38:20]	  Vous croyez vraiment que je vais accepter

[01:02:41:14]	  un Pakistan mangé aux mites?

[01:02:43:25]	  - Vous devriez vous estimer heureux.

[01:02:45:16]	  Vous nous faites du chantage depuis trop longtemps.

[01:02:47:29]	  - Monsieur Nehru, c'est vous et Gandhi--

[01:02:50:14]	  - C'est moi qui préside ce conseil!

[01:02:52:05]	  Je vous demande de vous respecter mutuellement.

[01:02:53:26]	  Le gouvernement britannique

[01:02:55:26]	  a formellement approuvé la partition de l'Inde.

